start_time, end_time, class, beam, duration_minutes
2017-05-10 05:42:30, 2017-05-10 05:47:30, 1, 3, 5.0
2017-05-10 09:37:30, 2017-05-10 09:42:30, 1, 3, 5.0
2017-05-10 03:27:30, 2017-05-10 03:32:30, 3, 3, 5.0
2017-05-11 02:07:30, 2017-05-11 02:12:30, 1, 1, 5.0
2017-05-11 02:07:30, 2017-05-11 02:12:30, 1, 2, 5.0
2017-05-11 23:52:30, 2017-05-11 23:57:30, 1, 3, 5.0
2017-05-11 04:42:30, 2017-05-11 04:47:30, 3, 3, 5.0
2017-05-12 18:12:30, 2017-05-12 18:17:30, 3, 1, 5.0
2017-05-12 18:12:30, 2017-05-12 18:17:30, 1, 3, 5.0
2017-05-12 15:27:30, 2017-05-12 15:42:30, 3, 3, 15.0
2017-05-13 23:42:30, 2017-05-13 23:47:30, 1, 3, 5.0
2017-05-14 05:02:30, 2017-05-14 05:07:30, 1, 1, 5.0
2017-05-14 05:27:30, 2017-05-14 05:32:30, 1, 1, 5.0
2017-05-14 05:22:30, 2017-05-14 05:27:30, 1, 3, 5.0
2017-05-14 05:42:30, 2017-05-14 05:47:30, 1, 3, 5.0
2017-05-14 19:42:30, 2017-05-14 19:57:30, 3, 3, 15.0
2017-05-17 00:57:30, 2017-05-17 01:02:30, 1, 1, 5.0
2017-05-17 00:57:30, 2017-05-17 01:02:30, 1, 2, 5.0
2017-05-17 00:57:30, 2017-05-17 01:02:30, 1, 3, 5.0
2017-05-17 04:17:30, 2017-05-17 04:22:30, 1, 3, 5.0
2017-05-18 07:32:30, 2017-05-18 07:37:30, 1, 3, 5.0
2017-05-20 05:52:30, 2017-05-20 05:57:30, 1, 3, 5.0
2017-05-22 22:42:30, 2017-05-22 22:47:30, 3, 3, 5.0
2017-05-23 23:32:30, 2017-05-23 23:42:30, 1, 1, 10.0
2017-05-23 23:42:30, 2017-05-23 23:57:30, 3, 1, 15.0
2017-05-23 07:57:30, 2017-05-23 08:02:30, 1, 3, 5.0
2017-05-23 08:37:30, 2017-05-23 08:42:30, 1, 3, 5.0
2017-05-23 23:27:30, 2017-05-23 23:32:30, 1, 3, 5.0
2017-05-24 00:17:30, 2017-05-24 00:22:30, 3, 1, 5.0
2017-05-24 21:02:30, 2017-05-24 21:07:30, 3, 2, 5.0
2017-05-24 21:12:30, 2017-05-24 21:17:30, 3, 2, 5.0
2017-05-25 21:42:30, 2017-05-25 21:47:30, 1, 2, 5.0
2017-05-25 22:17:30, 2017-05-25 22:22:30, 1, 2, 5.0
2017-05-25 20:37:30, 2017-05-25 21:42:30, 3, 2, 65.0
2017-05-25 21:47:30, 2017-05-25 22:17:30, 3, 2, 30.0
2017-05-25 19:32:30, 2017-05-25 19:37:30, 1, 3, 5.0
2017-05-25 19:57:30, 2017-05-25 20:07:30, 3, 3, 10.0
2017-05-25 20:12:30, 2017-05-25 20:37:30, 3, 3, 25.0
2017-05-26 13:37:30, 2017-05-26 13:42:30, 1, 3, 5.0
2017-05-26 19:07:30, 2017-05-26 19:12:30, 1, 3, 5.0
2017-05-29 15:42:30, 2017-05-29 15:47:30, 1, 1, 5.0
2017-05-29 17:17:30, 2017-05-29 17:22:30, 1, 1, 5.0
2017-05-29 15:42:30, 2017-05-29 15:47:30, 1, 3, 5.0
2017-05-30 01:37:30, 2017-05-30 01:42:30, 1, 3, 5.0
2017-05-30 15:52:30, 2017-05-30 15:57:30, 1, 3, 5.0
2017-05-30 16:02:30, 2017-05-30 16:07:30, 1, 3, 5.0
2022-01-01 15:57:30, 2022-01-01 16:02:30, 1, 1, 5.0
2022-01-05 16:32:30, 2022-01-05 16:37:30, 1, 2, 5.0
2022-01-05 16:42:30, 2022-01-05 16:52:30, 1, 2, 10.0
2022-01-05 17:17:30, 2022-01-05 17:22:30, 1, 2, 5.0
2022-01-05 19:17:30, 2022-01-05 20:02:30, 1, 2, 45.0
2022-01-05 22:42:30, 2022-01-05 23:57:30, 1, 2, 75.0
2022-01-05 16:37:30, 2022-01-05 16:42:30, 3, 2, 5.0
2022-01-05 16:52:30, 2022-01-05 17:17:30, 3, 2, 25.0
2022-01-05 17:22:30, 2022-01-05 19:17:30, 3, 2, 115.0
2022-01-05 16:22:30, 2022-01-05 16:32:30, 1, 3, 10.0
2022-01-05 16:37:30, 2022-01-05 16:47:30, 1, 3, 10.0
2022-01-05 18:37:30, 2022-01-05 18:42:30, 1, 3, 5.0
2022-01-05 19:02:30, 2022-01-05 19:37:30, 1, 3, 35.0
2022-01-05 19:52:30, 2022-01-05 19:57:30, 1, 3, 5.0
2022-01-05 20:07:30, 2022-01-05 20:17:30, 1, 3, 10.0
2022-01-05 20:22:30, 2022-01-05 21:27:30, 1, 3, 65.0
2022-01-05 21:37:30, 2022-01-05 23:57:30, 1, 3, 140.0
2022-01-05 16:32:30, 2022-01-05 16:37:30, 3, 3, 5.0
2022-01-05 19:37:30, 2022-01-05 19:52:30, 3, 3, 15.0
2022-01-05 19:57:30, 2022-01-05 20:07:30, 3, 3, 10.0
2022-01-05 20:17:30, 2022-01-05 20:22:30, 3, 3, 5.0
2022-01-06 22:57:30, 2022-01-06 23:02:30, 3, 1, 5.0
2022-01-06 00:02:30, 2022-01-06 00:52:30, 1, 2, 50.0
2022-01-06 00:57:30, 2022-01-06 01:02:30, 1, 2, 5.0
